Tick;Step;DateTime;Age;Alive;AmountToSpawn;ConsumptionRate;Fruit;GrowRate;LifePoints;MatureAge;MaxAge;Name;ProductionRate;SpreadRate;State;Wood;X;Y;ID
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;567;0.5;100;1825;6570;PalmTree;0.6;0.0001;Juvenile;491;105;2;59ac9998-b83e-4839-b009-714b2199dba1
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;0.8;1164;0.1;100;3650;110960;BrazilNutTree;1;0.0003;Juvenile;13214;73;6;e1d088ae-1e7c-4dd0-a33d-1134ac021d6d
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;899;0.5;100;1825;7300;PalmTree;0.6;0.0001;Juvenile;344;59;0;8de796e4-ba8b-45b4-81d2-21d53a36b5b3
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;3514;1;100;2920;15695;NutmegTree;1.3;0.0002;Juvenile;1454;24;7;73048678-e261-496c-a50f-bda9397efdad
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;0.8;1500;0.1;100;3650;136510;BrazilNutTree;1;0.0003;Juvenile;96;116;3;02488001-cfb9-4487-98fd-82f97605263e
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;394;0.5;100;1825;6570;PalmTree;0.6;0.0001;Juvenile;327;53;1;9812489a-2d98-4b89-ba7f-de80ebfce3da
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;0.8;1354;0.1;100;3650;180310;BrazilNutTree;1;0.0003;Juvenile;11611;42;4;993fb8ac-4f10-4d7c-8a30-2f4459e628e8
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;951;1;100;2920;13870;NutmegTree;1.3;0.0002;Juvenile;3861;30;8;cbb4cf0f-c35d-47ba-bdb4-24c23605cb0e
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;0.8;1391;0.1;100;3650;174105;BrazilNutTree;1;0.0003;Juvenile;10256;104;5;c1e00306-2441-4583-a027-b68cb8422836
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;0.8;1475;0.1;100;3650;124465;BrazilNutTree;1;0.0003;Juvenile;16206;13;6;612563aa-7ae4-4ab1-ae0e-b20dbcdbd376
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;0.8;1274;0.1;100;3650;174470;BrazilNutTree;1;0.0003;Juvenile;377;49;4;c393b277-f665-44a6-90b6-f88b956366ea
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;3783;1;100;2920;14600;NutmegTree;1.3;0.0002;Juvenile;9284;114;8;2c4bf0b1-301d-44f9-be97-3e6dd8d0e67a
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;6627;1;100;2920;16060;NutmegTree;1.3;0.0002;Juvenile;4881;25;9;38ada17e-d819-493d-8dcc-9c2f748b33d1
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;196;0.5;100;1825;8760;PalmTree;0.6;0.0001;Juvenile;763;6;2;a7d561d2-55bb-4098-8786-b4876a9d2ef5
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;0.8;1425;0.1;100;3650;131035;BrazilNutTree;1;0.0003;Juvenile;6590;62;3;35311f35-28ab-4cbc-9966-55e2414649ca
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;0.8;357;0.1;100;3650;164615;BrazilNutTree;1;0.0003;Juvenile;16940;4;5;e11fea22-8ca7-454d-807a-3e6cf4759373
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;186;0.5;100;1825;6205;PalmTree;0.6;0.0001;Juvenile;744;5;1;82926175-ad72-497b-9911-87c60b93ecae
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;5918;1;100;2920;14965;NutmegTree;1.3;0.0002;Juvenile;872;26;8;ac06a2b1-b6ed-4be9-a306-ad11d94747a0
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;864;1;100;2920;18980;NutmegTree;1.3;0.0002;Juvenile;2343;65;9;e77a0999-0e8d-4317-9a3f-6017822b4a2e
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;4752;1;100;2920;15330;NutmegTree;1.3;0.0002;Juvenile;8683;113;6;430dbd00-4aa4-4243-9f78-8b2a4d625971
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;464;0.5;100;1825;8030;PalmTree;0.6;0.0001;Juvenile;634;57;0;3f0eb4c2-e10d-4547-b2b4-430a84931398
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;8;0.5;100;1825;10220;PalmTree;0.6;0.0001;Juvenile;927;46;1;e7c1a065-0e30-4146-a1bf-bf7a3b7bb5f1
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;181;1;100;2920;19710;NutmegTree;1.3;0.0002;Juvenile;3915;2;10;a4b7f88a-a56c-4649-9cee-c616841ae1fb
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;0.8;3898;0.1;100;3650;123370;BrazilNutTree;1;0.0003;Juvenile;2626;37;4;c4359234-2e88-48e8-81b7-107ce8af0ad8
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;0.8;4346;0.1;100;3650;97090;BrazilNutTree;1;0.0003;Juvenile;13750;49;3;8e2c7b09-6610-4270-ad3a-2cd76b27efab
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;0.8;4804;0.1;100;3650;142350;BrazilNutTree;1;0.0003;Juvenile;13790;2;6;72669ad0-b875-49ed-ba5e-8692d06bf023
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;0.8;1739;0.1;100;3650;167170;BrazilNutTree;1;0.0003;Juvenile;12265;77;4;cd46cc89-5b7f-4b53-9677-70243a2d56ac
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;0.8;552;0.1;100;3650;120085;BrazilNutTree;1;0.0003;Juvenile;16924;71;6;4a0f912d-af1d-4ca0-b597-1ba27217e665
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;1091;1;100;2920;16425;NutmegTree;1.3;0.0002;Juvenile;9517;12;8;9825a5cc-35fe-463a-9b60-f04426d9b345
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;3440;1;100;2920;21535;NutmegTree;1.3;0.0002;Juvenile;3976;97;8;72bf1f4a-1c4b-403a-953f-d2090fcbdbab
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;0.8;1086;0.1;100;3650;123370;BrazilNutTree;1;0.0003;Juvenile;17367;115;4;21dee1f6-5fa6-41b4-854f-8ca15bfebaf9
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;0.8;2431;0.1;100;3650;158775;BrazilNutTree;1;0.0003;Juvenile;11473;72;6;6691e914-4f0c-4a7b-86ec-0211c0afa102
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;4085;1;100;2920;14965;NutmegTree;1.3;0.0002;Juvenile;9497;116;9;1df25458-0e9e-4e2e-a7f3-2faf26a16b54
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;381;0.5;100;1825;9490;PalmTree;0.6;0.0001;Juvenile;744;60;1;c69088d3-fc26-40c6-bf5d-f66c9b11a32d
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;139;0.5;100;1825;7300;PalmTree;0.6;0.0001;Juvenile;778;39;3;41e50a0b-e588-4c8f-9eb0-86a2e390f8fa
